method,outcome,subset,threshold_c,mae,bias
graph,A_new344,all,13.75,0.006517089797084023,-0.0001762030061391718
graph,A_new344,all,14.0,0.006937021193479567,-0.0001435378285469994
graph,A_new344,all,14.25,0.0073492163198897575,-0.0001291745931887898
graph,A_new344,all,14.5,0.0077176863923916345,-0.00010235277861109946
graph,A_new344,all,14.75,0.008116094448502129,-6.054253595501887e-05
graph,A_new344,all,15.0,0.008383638326159772,-2.595600062006395e-06
graph,A_new344,all,15.25,0.008798093564561493,-4.3829039110485953e-07
graph,A_new344,all,15.5,0.009216174852531915,1.8574228646547403e-05
graph,A_new344,all,15.75,0.009420047627352804,1.8234098979627254e-06
graph,A_new344,all,16.0,0.009621095877237248,1.8784453261368807e-06
graph,A_new344,all,16.25,0.01004645773428413,-3.9711450994146474e-05
graph,A_new344,all,16.5,0.01025378881888669,-4.694337386769524e-05
graph,A_new344,all,16.75,0.010569906826147436,-2.448135202718701e-05
graph,A_new344,all,17.0,0.011040478213888615,-5.603923445592221e-05
graph,A_new344,all,17.25,0.011217200043718045,-5.016659196514158e-05
graph,A_new344,all,17.5,0.011344235124998502,-3.189058061892219e-05
